census_tract_id,x10,x55
41067031807,2,2
13121005502,9,26
41067031904,2,27
48331950402,9,31
41051003701,2,39
48209010803,3,23
48209010702,10,46
41009970800,2,2
13121008700,9,26
13121007603,9,26
41009971100,2,2
53053073111,2,4
28133950401,9,31
28049003600,9,31
48261950100,3,9
01073005200,9,31
48245000103,9,26
48371950100,3,9
13021012400,9,31
48355002705,3,23
05119004001,9,31
22005030900,9,31
41005022500,2,18
41005022901,2,2
22055000900,9,31
48355005801,2,27
28035010500,9,31
54039000700,9,31
48021950801,1,19
06013351103,2,36
54039001200,9,26
39035104600,9,31
48453001911,5,8
48389950500,1,19
39035119300,9,26
34011030100,9,31
13293010500,9,31
48453001606,3,24
48029152000,1,1
48453001908,2,39
20091052306,2,27
48453001917,2,36
48145000700,3,24
36063020900,9,26
41067032103,2,4
36063020500,9,26
36055002300,9,31
08067971100,5,8
48029182101,2,27
39035112200,9,26
48029181303,6,25
36015000100,9,31
39035112400,9,31
36067002101,9,31
48453000307,5,15
06013345102,2,27
20121100602,2,2
48469001606,3,23
21015070601,2,2
48029182002,2,47
48439105203,3,12
36067006000,9,31
06025011000,1,1
06013325000,2,2
48453001913,2,36
48029980001,,
48453001742,2,4
36029007000,9,31
36029001600,9,31
36029017400,9,31
36029003301,9,31
36029017100,9,31
39035117102,9,31
45015020811,6,25
36065020300,9,26
28049001000,9,31
48327950300,3,43
39099810300,9,31
39035114100,9,26
06013323000,2,27
39155933900,9,31
13121007705,9,26
05147490200,9,31
41005022702,2,27
28049002500,9,31
48309000300,10,51
48507950301,1,3
48309003801,3,12
28151002100,9,31
06013321200,2,18
06013321101,2,27
48491020803,2,4
48491020204,2,2
28049002000,9,31
26025003400,10,52
06013317000,2,18
48101950100,3,43
48491020808,2,2
28049011400,9,26
06013349000,2,39
06013345105,2,27
13121004800,9,26
39035102700,9,31
48187210508,3,12
48187210507,3,12
06013351102,2,36
06017031402,2,2
48187210505,1,19
41005023100,2,27
39035104800,9,31
39035108201,9,26
09003501300,9,26
06013339002,2,22
39153530105,9,31
48027980003,,
48285000400,3,9
48377950200,1,3
48265960301,3,43
48055960300,2,2
39035110901,9,31
48091310300,7,14
06073010015,1,1
22079012100,9,31
28089030700,9,31
34013006700,9,26
39035113101,9,26
06013355115,2,4
48141010344,1,3
39035141300,10,46
36083040300,9,31
04017964201,4,17
28053950300,9,31
42049000400,9,31
04017940301,4,7
06065042719,1,1
04019940600,4,7
40023967200,9,31
04019003600,6,50
42049000700,9,31
13121007806,9,31
04007001300,3,9
04012020202,7,53
06037900102,1,1
04027980004,,
29143960600,9,31
47059090100,9,31
04025001602,3,5
06013355117,2,47
06013338204,2,13
13121002300,9,31
13121006300,9,31
06037104610,1,3
04005002200,3,23
04013050607,2,4
41051003801,2,39
04013092723,3,12
42049001700,9,31
04013811100,3,12
04013113501,1,19
42011001800,9,31
04009961100,3,9
09003501800,9,26
04013617200,2,27
06013338201,2,27
25009207200,9,26
13121004400,9,26
48085031312,2,27
12091020302,6,28
04013061040,2,4
20091051000,2,39
48491021601,3,12
04013615600,7,53
25025080401,9,26
25013801800,9,31
25013801300,9,31
04003002002,3,5
25013800900,9,26
48113016903,1,19
04013614800,6,25
06013335000,2,2
25017311900,9,26
06017030709,2,36
48491020323,2,4
04003002100,3,23
39061022700,9,31
48357950100,3,9
13215003200,9,26
04013216843,7,48
39133601501,10,46
39061003600,9,26
04013114703,6,28
04013980600,,
04013610000,2,4
04013422213,3,12
48423000201,9,31
04013216902,2,18
06013324001,2,22
25027732001,9,26
48037010800,9,31
48027021400,3,23
13121008101,9,31
01003011000,3,5
06083001000,6,25
34031264200,9,26
06083000103,7,21
06013338203,2,37
06033001100,2,2
22079013000,9,31
22117950700,9,31
06013334006,2,27
22109000500,9,31
48201230300,1,19
22045031000,9,26
22019000200,9,31
34013004802,9,26
34013022800,9,26
36093020700,9,31
36093020900,9,31
36119983000,9,31
01073005103,9,31
39061003900,9,31
06059021918,2,27
39061006400,9,31
39061006900,9,31
01073001600,9,31
01073001400,9,31
26081003600,9,31
22019001500,9,31
01073000800,9,31
01073003700,9,31
48039662800,3,12
01073003400,9,31
01073003300,9,31
26081012901,9,31
26099982200,9,31
06059062604,2,37
41051003802,2,39
01073005500,9,31
01073002900,9,31
01073005702,9,31
01047956800,9,31
01073010900,9,31
01073013002,9,31
06013338102,2,27
06013338101,2,18
06111000200,1,3
04019004051,2,27
01073003900,9,26
47157010500,9,31
39049005420,9,31
06013380000,2,39
39049005300,9,31
06017030803,2,2
39049003600,9,26
06029006006,2,2
06029003306,2,2
06029006002,6,28
39049000730,9,31
39049000920,9,31
39095006700,9,31
06013324002,2,22
06013346102,2,36
39049000910,9,31
32003005818,6,28
42011014000,10,46
06073019106,2,2
39113000900,9,31
42081000500,10,52
40017300700,6,28
13121006100,9,31
06073018513,2,2
13121002400,9,31
48437950200,6,28
48179950100,6,28
13121004000,9,31
13121003900,9,31
47157000800,9,31
26075000200,9,26
06073008310,2,36
26091061600,9,31
42069100300,10,51
04021000803,6,28
04021002103,3,12
04021000319,2,36
06073008333,2,37
06073015200,7,21
26049001500,9,31
06073020706,2,27
01073003803,9,31
06073020710,2,27
01073003802,9,31
01073010301,9,31
06073009304,5,11
01073010100,9,31
01073010200,9,31
06013320004,2,18
06013346101,2,36
51810044807,6,25
01073013601,9,31
06073017106,2,36
01033020300,9,31
39061011000,9,31
42081000800,10,51
01015000500,9,31
06073021303,2,47
06073020028,1,3
06073015501,2,2
01101002201,9,31
06013334001,2,18
01101002400,9,31
22071008300,2,39
01101000600,9,31
06073018700,6,50
06073018611,2,2
20091051400,2,27
06079012900,3,23
06079012302,7,21
06079010101,3,12
06079010603,7,14
41051003902,2,39
01101001300,9,31
41051004200,2,39
41051004601,2,39
06071010419,3,23
28163950100,6,28
01101001200,9,31
06071010803,2,2
06071010420,3,24
06071002022,2,47
06071009202,2,2
12077950200,6,28
12073001902,6,25
06071008602,3,12
06081611700,1,3
06071011001,3,43
06071010411,3,24
12091022800,6,25
06071008500,2,36
06071010300,3,24
01101001000,9,26
22019001400,9,31
13121012000,9,26
13261950200,9,31
22011960300,9,31
06071940100,3,43
39061027000,9,26
39023000901,9,31
22037951502,6,28
06071010024,2,2
41051004602,2,36
39023001200,9,31
41051006002,2,27
41051006001,2,39
39049008813,9,31
39049008720,9,31
06065044104,3,23
06065043809,7,14
13121006601,9,26
13121006200,9,31
39049008710,9,31
06065043813,3,5
06065043812,2,36
39003013700,9,31
48185180101,6,28
39049007511,9,31
06065940500,7,40
06065043272,2,27
39049004700,9,31
41051006100,2,39
39049004620,9,31
39049005500,9,31
26145001000,9,31
06019008401,1,38
06065047202,3,43
06065043247,2,4
39093097300,9,31
39093024000,9,31
06077003313,1,19
39095004702,9,31
39095001700,9,31
48313000100,6,28
39095001800,9,31
39095001900,9,31
48373210203,6,28
06111000800,3,9
13121008400,9,26
06111007300,2,36
40143006200,9,31
13215001600,9,26
41051006200,2,39
39095002900,9,26
06111007506,2,27
06111008305,2,36
39095003200,9,31
06111004600,2,36
39095003100,9,31
06111003612,2,39
12087971900,6,10
08037000503,1,3
39113165200,9,26
08001008901,1,3
39113000802,9,31
06037481606,2,45
39113001100,9,31
26125171600,9,31
06037800408,2,36
39113003800,9,31
13021012800,9,31
06037211703,1,32
06037125100,5,15
06037980028,,
26021020700,9,31
12086011401,1,1
13255160800,9,31
13021012700,9,31
26049013600,9,26
06037670324,2,36
06037236203,5,42
39061001600,9,26
06037143200,5,15
26065003700,9,31
26121000601,9,31
26121000500,9,31
39095002300,9,26
06037222700,5,42
22057020400,9,31
26125142100,9,31
01053970600,9,31
06037134306,2,22
12057013505,3,6
13021012900,9,31
06037297201,2,22
22057020500,9,31
13021011500,9,31
06037132300,2,22
13131950300,9,31
18163001900,9,26
06037980009,2,37
06037980005,,
12103020105,10,30
28151001700,9,31
06037216200,5,15
42003561600,9,31
06037192510,2,45
28151000900,9,31
12057011708,6,25
28011950701,9,31
06037143800,5,15
47157011020,9,31
01077010300,9,31
13021010300,9,31
27137001900,9,26
06037408703,2,45
27137015600,9,31
13021010100,9,31
26125142400,9,31
26121004300,9,31
26145000400,9,31
22083970400,6,28
48401950502,6,28
26145000900,9,31
22097960900,9,31
22097961500,9,31
22013970100,9,31
06037431700,2,45
28011950702,9,31
41051006502,2,18
41051006602,2,39
22105954300,9,31
48355000800,1,19
06037189800,5,15
06037211802,2,45
06013355301,2,27
22099020502,9,31
17043841902,10,52
39061026700,9,31
06037213401,5,42
28151000300,9,31
06037302104,2,22
13215003400,9,26
06037800102,2,36
55079006700,9,31
06037262400,2,36
55079003900,9,31
06037111202,2,2
06037139703,2,36
48047950100,1,19
06037267402,5,15
13121002600,6,25
13215002800,9,26
06037920314,2,27
13215002700,9,26
55079009900,9,31
13121006801,6,28
51710004300,9,31
48465950700,1,19
06037980014,5,42
41051006702,2,39
06037262200,2,36
41051009605,2,18
13215002400,9,26
06029001201,1,38
51710004400,9,31
51710004600,9,31
06037216401,5,15
55079009700,9,31
06037577300,5,8
22101040300,9,31
05045031003,6,25
55079009800,9,31
06037800326,2,36
06037204420,1,3
22101040700,9,31
05041950500,9,31
06037910811,2,36
41051000901,2,39
26145000600,9,31
06037480011,2,45
06037124102,2,22
06037930101,2,36
29023950400,9,31
06037920020,2,2
40143008800,9,31
26161410600,9,26
12105011204,9,31
47157000200,9,31
13275960800,9,31
22071000904,9,26
37067000500,9,26
12099001302,9,31
12021000700,9,31
22071003000,9,31
22071003400,9,26
12127081500,9,26
12099001101,6,10
17031010503,10,46
32003002505,6,10
41051006801,2,18
05131000300,9,31
36077591200,10,52
13121008500,9,31
41051006402,2,27
41067033302,2,2
13185011302,9,31
48113001503,5,42
13121011800,9,26
13121007300,9,26
37001021206,6,25
05119003001,9,31
05119001100,9,31
05119002600,9,31
32003005347,2,4
22051025800,9,31
32003005613,3,5
48215023513,1,3
41051006802,2,39
41005023600,2,2
41051006900,2,36
20033967600,3,9
20055960200,1,19
41051008902,2,18
53035091000,2,36
41051009903,2,27
41051007100,2,27
48215024600,1,3
20079030500,3,24
41051010303,2,18
05119002700,9,31
20173009900,3,12
20093959100,3,9
41051010405,2,18
35045943201,4,7
41051006404,2,18
35025000900,3,9
35025001100,3,9
05069001903,9,31
06013333200,2,2
35001000501,9,26
35001000109,3,23
05069001700,9,31
35001003730,2,27
41017001400,2,18
35011960100,3,9
35015000600,1,19
41047010201,2,2
51810044805,6,50
06065046402,1,1
42077002202,10,52
04013610800,2,4
35007950700,3,43
35006941500,4,7
05069001600,9,31
51111930100,6,28
05069001402,9,31
35043940300,,
35043010900,3,43
35043940900,4,7
35005001300,3,9
05069001401,9,31
35047957800,1,19
05069001000,9,31
35039000400,2,2
35005001102,3,5
51810044806,6,25
06017030901,2,27
48201222700,9,26
48279950100,1,19
04013040521,2,4
35049010304,3,23
06013332000,2,2
04013941300,4,17
40133583300,9,31
48491021000,1,19
42079200200,10,30
06083002932,7,21
06083001704,3,9
42095010700,10,30
06013331000,2,2
06013352102,2,36
06013333102,2,2
06037239501,1,3
06013333101,2,2
06013313205,2,2
06013343003,2,36
05069000900,9,31
06013330000,2,2
06013341000,2,39
06013340002,2,27
06013329000,2,18
48201313200,9,31
22065960500,9,31
51760021200,9,31
40009966100,3,9
40003956000,6,28
06025011900,1,1
55079013400,9,31
55105001600,9,31
40137000800,3,23
40087400202,2,2
06013355302,2,36
41067031804,2,18
41005020403,2,36
41067033600,2,2
41005022105,2,27
53033000401,2,22
06107003200,1,38
42027012000,10,44
06059032011,2,27
41067031003,2,18
41067031004,2,18
41005022206,2,18
22017020700,9,31
48113016521,6,10
54011010900,9,26
22017022500,9,31
48113014002,2,36
48227950100,3,9
22017023200,9,31
48113001704,5,11
22017020500,9,31
22017023400,9,31
48113000701,5,11
22017022400,9,31
05125010103,6,25
16001010501,6,28
48201230200,9,31
48113019013,5,42
48113007101,2,36
48201230700,9,31
41005022205,2,2
22077952400,3,5
20091052502,2,36
17031836200,10,51
48201231300,9,31
22017020600,9,26
48381021102,5,42
04015955000,3,24
48251130408,3,5
48251130303,3,43
22017024601,9,31
41005022208,2,47
48367140602,3,5
48201331300,9,31
51810044200,6,25
48039662700,3,5
41045970900,6,28
17107953500,6,28
48039664100,1,19
48441013200,3,5
41005022207,2,27
41005022606,2,4
22017022300,9,31
48485013800,3,5
48361020200,9,31
41067031507,2,18
48181001101,3,12
48181001400,10,30
48045950200,3,9
48077030302,2,2
48399950100,3,43
22017025300,9,26
48439114008,2,4
48115950600,3,9
05035031200,9,26
48439110807,3,12
22017021700,9,31
48439113815,2,36
48439114104,2,4
41067031508,2,47
53051970500,2,2
22073001100,9,31
48201250402,2,4
22073000600,9,31
28151001000,9,31
28047000900,5,42
41067030502,2,18
41067031506,2,18
29095011405,9,26
29095016500,9,31
48201342002,2,4
26081004400,10,30
48339691400,6,25
28125950200,9,31
48439113610,2,36
48439111548,2,4
39153501100,6,28
20091051500,2,18
41005022603,2,4
32003002708,6,10
48321730400,9,31
22055000800,9,26
48141010101,2,4
42027011300,10,46
48225950400,9,31
47037012802,9,31
41005022707,2,18
49053270700,6,25
20155000800,6,28
40119010900,6,25
35049980000,6,50
35061970700,6,28
48113013805,6,10
12009064127,3,23
48115950402,6,28
48295950300,3,9
28151001100,9,31
48135002200,1,19
41005022710,2,18
48375980000,,
48375014700,3,24
29069360600,9,31
01089010800,3,12
41067030801,2,18
40143007900,9,31
48219950100,3,5
48085031720,6,10
42109980705,10,51
41067031911,2,18
09003417200,10,46
40143009101,9,31
40143000200,9,31
48121021512,2,36
40143000300,9,31
40143001000,9,26
09003502700,10,52
48121020205,2,27
